,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:dell:data_protection_\|_encryption:8.5.0:*:*:*:enterprise:*:*:*,Dell Data Protection | Encryption 8.5.0 Enterprise Edition,['CVE-2018-15773'],2022-03-20T12:16Z
1,cpe:2.3:a:dell:data_protection_\|_encryption:8.6.0:*:*:*:enterprise:*:*:*,Dell Data Protection | Encryption 8.6.0 Enterprise Edition,['CVE-2018-15773'],2022-03-20T12:16Z
2,cpe:2.3:a:dell:data_protection_\|_encryption:8.6.1:*:*:*:enterprise:*:*:*,Dell Data Protection | Encryption 8.6.1 Enterprise Edition,['CVE-2018-15773'],2022-03-20T12:16Z
3,cpe:2.3:a:dell:data_protection_\|_encryption:8.7.0:*:*:*:enterprise:*:*:*,Dell Data Protection | Encryption 8.7.0 Enterprise Edition,['CVE-2018-15773'],2022-03-20T12:16Z
4,cpe:2.3:a:dell:data_protection_\|_encryption:8.9.0:*:*:*:enterprise:*:*:*,Dell Data Protection | Encryption 8.9.0 Enterprise Edition,['CVE-2018-15773'],2022-03-20T12:16Z
5,cpe:2.3:a:dell:data_protection_\|_encryption:8.9.1:*:*:*:enterprise:*:*:*,Dell Data Protection | Encryption 8.9.1 Enterprise Edition,['CVE-2018-15773'],2022-03-20T12:16Z
6,cpe:2.3:a:dell:data_protection_\|_encryption:8.10.0:*:*:*:enterprise:*:*:*,Dell Data Protection | Encryption 8.10.0 Enterprise Edition,['CVE-2018-15773'],2022-03-20T12:16Z
7,cpe:2.3:a:dell:data_protection_\|_encryption:8.10.1:*:*:*:enterprise:*:*:*,Dell Data Protection | Encryption 8.10.1 Enterprise Edition,['CVE-2018-15773'],2022-03-20T12:16Z
8,cpe:2.3:a:dell:data_protection_\|_encryption:8.11.2:*:*:*:enterprise:*:*:*,Dell Data Protection | Encryption 8.11.2 Enterprise Edition,['CVE-2018-15773'],2022-03-20T12:16Z
9,cpe:2.3:a:dell:data_protection_\|_encryption:8.12.0:*:*:*:enterprise:*:*:*,Dell Data Protection | Encryption 8.12.0 Enterprise Edition,['CVE-2018-15773'],2022-03-20T12:16Z
