,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,required_col,new_col
0,5,1,1,1,1,1,3498,19,159,73,96.737217,Page,"block_1,line_1,word_ 1",
1,5,1,1,1,1,2,3690,18,22,56,94.260635,|,"block_1,line_1,word_ 2",
2,5,1,1,1,1,3,3746,16,74,59,96.107047,of,"block_1,line_1,word_ 3",
3,5,1,1,1,1,4,3836,18,35,57,96.261594,9,"block_1,line_1,word_ 4",
4,5,1,2,1,1,1,391,409,184,61,96.355684,FAX,"block_2,line_1,word_ 1",FAX FORM COVER SHEET - PERSONAL FLOOD INSURANCE
5,5,1,2,1,1,2,600,409,272,62,95.885983,FORM,"block_2,line_1,word_ 2",FAX FORM COVER SHEET - PERSONAL FLOOD INSURANCE
6,5,1,2,1,1,3,900,409,323,62,96.578785,COVER,"block_2,line_1,word_ 3",FAX FORM COVER SHEET - PERSONAL FLOOD INSURANCE
7,5,1,2,1,1,4,1250,409,293,62,93.236675,SHEET,"block_2,line_1,word_ 4",FAX FORM COVER SHEET - PERSONAL FLOOD INSURANCE
8,5,1,2,1,1,5,1571,445,26,9,91.714274,-,"block_2,line_1,word_ 5",FAX FORM COVER SHEET - PERSONAL FLOOD INSURANCE
9,5,1,2,1,1,6,1623,409,487,62,95.64627,PERSONAL,"block_2,line_1,word_ 6",FAX FORM COVER SHEET - PERSONAL FLOOD INSURANCE
10,5,1,2,1,1,7,2138,409,315,62,95.617819,FLOOD,"block_2,line_1,word_ 7",FAX FORM COVER SHEET - PERSONAL FLOOD INSURANCE
11,5,1,2,1,1,8,2481,409,531,62,95.617819,INSURANCE,"block_2,line_1,word_ 8",FAX FORM COVER SHEET - PERSONAL FLOOD INSURANCE
12,5,1,3,1,1,1,390,541,242,54,96.238058,Named,"block_3,line_1,word_ 1",Named Insured CHARLES M. LUCHS Date Requested 01/14/2022
13,5,1,3,1,1,2,656,541,263,54,95.991054,Insured,"block_3,line_1,word_ 2",Named Insured CHARLES M. LUCHS Date Requested 01/14/2022
14,5,1,3,1,1,3,1137,542,309,50,93.206978,CHARLES,"block_3,line_1,word_ 3",Named Insured CHARLES M. LUCHS Date Requested 01/14/2022
15,5,1,3,1,1,4,1472,543,63,48,91.899565,M.,"block_3,line_1,word_ 4",Named Insured CHARLES M. LUCHS Date Requested 01/14/2022
16,5,1,3,1,1,5,1564,543,217,49,93.009645,LUCHS,"block_3,line_1,word_ 5",Named Insured CHARLES M. LUCHS Date Requested 01/14/2022
17,5,1,3,1,1,6,2498,541,157,54,96.797215,Date,"block_3,line_1,word_ 6",Named Insured CHARLES M. LUCHS Date Requested 01/14/2022
18,5,1,3,1,1,7,2678,541,353,70,96.196323,Requested,"block_3,line_1,word_ 7",Named Insured CHARLES M. LUCHS Date Requested 01/14/2022
