,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,required_col,new_col
0,5,1,1,1,1,1,160,138,354,81,96.423638,CHUBB,"block_1,line_1,word_ 1",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (_) PERSONAL (PRIMARY) FLOOD
1,5,1,1,1,1,2,560,138,325,94,96.096090,QUICK,"block_1,line_1,word_ 2",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (_) PERSONAL (PRIMARY) FLOOD
2,5,1,1,1,1,3,942,138,342,81,96.362883,FLOOD,"block_1,line_1,word_ 3",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (_) PERSONAL (PRIMARY) FLOOD
3,5,1,1,1,1,4,1344,138,504,81,95.796574,ESTIMATE,"block_1,line_1,word_ 4",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (_) PERSONAL (PRIMARY) FLOOD
4,5,1,1,1,1,5,1885,138,681,81,96.235292,WORKSHEET,"block_1,line_1,word_ 5",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (_) PERSONAL (PRIMARY) FLOOD
5,5,1,1,1,1,6,2790,136,123,134,49.471107,(_),"block_1,line_1,word_ 6",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (_) PERSONAL (PRIMARY) FLOOD
6,5,1,1,1,1,7,2943,141,362,125,96.867751,PERSONAL,"block_1,line_1,word_ 7",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (_) PERSONAL (PRIMARY) FLOOD
7,5,1,1,1,1,8,3329,147,370,72,96.921478,(PRIMARY),"block_1,line_1,word_ 8",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (_) PERSONAL (PRIMARY) FLOOD
8,5,1,1,1,1,9,3728,151,231,55,96.882662,FLOOD,"block_1,line_1,word_ 9",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (_) PERSONAL (PRIMARY) FLOOD
9,5,1,2,1,1,1,389,266,7,7,76.573663,.,"block_2,line_1,word_ 1",. . . . . Primary = 1st dollar coverage up to repl.
10,5,1,2,1,1,2,613,266,7,7,78.831563,.,"block_2,line_1,word_ 2",. . . . . Primary = 1st dollar coverage up to repl.
11,5,1,2,1,1,3,902,266,7,7,75.976965,.,"block_2,line_1,word_ 3",. . . . . Primary = 1st dollar coverage up to repl.
12,5,1,2,1,1,4,1264,266,7,7,75.219464,.,"block_2,line_1,word_ 4",. . . . . Primary = 1st dollar coverage up to repl.
13,5,1,2,1,1,5,1670,266,7,7,76.038771,.,"block_2,line_1,word_ 5",. . . . . Primary = 1st dollar coverage up to repl.
14,5,1,2,1,1,6,2941,240,187,52,96.796843,Primary,"block_2,line_1,word_ 6",. . . . . Primary = 1st dollar coverage up to repl.
15,5,1,2,1,1,7,3148,252,27,17,94.988692,=,"block_2,line_1,word_ 7",. . . . . Primary = 1st dollar coverage up to repl.
16,5,1,2,1,1,8,3199,240,67,41,96.408781,1st,"block_2,line_1,word_ 8",. . . . . Primary = 1st dollar coverage up to repl.
17,5,1,2,1,1,9,3284,240,134,41,95.486828,dollar,"block_2,line_1,word_ 9",. . . . . Primary = 1st dollar coverage up to repl.
18,5,1,2,1,1,10,3435,250,224,42,96.304477,coverage,"block_2,line_1,word_ 10",. . . . . Primary = 1st dollar coverage up to repl.
19,5,1,2,1,1,11,3680,250,56,41,96.563284,up,"block_2,line_1,word_ 11",. . . . . Primary = 1st dollar coverage up to repl.
20,5,1,2,1,1,12,3755,241,43,40,93.266140,to,"block_2,line_1,word_ 12",. . . . . Primary = 1st dollar coverage up to repl.
21,5,1,2,1,1,13,3820,240,99,51,90.772800,repl.,"block_2,line_1,word_ 13",. . . . . Primary = 1st dollar coverage up to repl.
22,5,1,2,1,2,1,154,266,44,50,94.437149,A,"block_2,line_2,word_ 1",A premium estimate derived from this worksheet is not the result of a cost: S15M total promerty atone lowation
23,5,1,2,1,2,2,219,279,269,51,94.437149,premium,"block_2,line_2,word_ 2",A premium estimate derived from this worksheet is not the result of a cost: S15M total promerty atone lowation
24,5,1,2,1,2,3,513,262,257,101,96.716604,estimate,"block_2,line_2,word_ 3",A premium estimate derived from this worksheet is not the result of a cost: S15M total promerty atone lowation
25,5,1,2,1,2,4,795,266,226,51,96.304188,derived,"block_2,line_2,word_ 4",A premium estimate derived from this worksheet is not the result of a cost: S15M total promerty atone lowation
26,5,1,2,1,2,5,1041,266,133,51,96.301064,from,"block_2,line_2,word_ 5",A premium estimate derived from this worksheet is not the result of a cost: S15M total promerty atone lowation
27,5,1,2,1,2,6,1199,266,105,51,96.301064,this,"block_2,line_2,word_ 6",A premium estimate derived from this worksheet is not the result of a cost: S15M total promerty atone lowation
28,5,1,2,1,2,7,1328,262,315,101,96.515558,worksheet,"block_2,line_2,word_ 7",A premium estimate derived from this worksheet is not the result of a cost: S15M total promerty atone lowation
29,5,1,2,1,2,8,1661,279,47,38,95.788672,is,"block_2,line_2,word_ 8",A premium estimate derived from this worksheet is not the result of a cost: S15M total promerty atone lowation
30,5,1,2,1,2,9,1731,268,96,49,96.559573,not,"block_2,line_2,word_ 9",A premium estimate derived from this worksheet is not the result of a cost: S15M total promerty atone lowation
31,5,1,2,1,2,10,1848,266,91,51,96.759642,the,"block_2,line_2,word_ 10",A premium estimate derived from this worksheet is not the result of a cost: S15M total promerty atone lowation
32,5,1,2,1,2,11,1961,266,171,51,96.547121,result,"block_2,line_2,word_ 11",A premium estimate derived from this worksheet is not the result of a cost: S15M total promerty atone lowation
33,5,1,2,1,2,12,2151,266,64,51,94.366316,of,"block_2,line_2,word_ 12",A premium estimate derived from this worksheet is not the result of a cost: S15M total promerty atone lowation
34,5,1,2,1,2,13,2229,279,33,38,94.366316,a,"block_2,line_2,word_ 13",A premium estimate derived from this worksheet is not the result of a cost: S15M total promerty atone lowation
35,5,1,2,1,2,14,2939,305,112,47,53.725467,cost:,"block_2,line_2,word_ 14",A premium estimate derived from this worksheet is not the result of a cost: S15M total promerty atone lowation
36,5,1,2,1,2,15,3073,300,132,50,25.893908,S15M,"block_2,line_2,word_ 15",A premium estimate derived from this worksheet is not the result of a cost: S15M total promerty atone lowation
