Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-August-2019,503.95,504.30,495.95,498.35,501.250000000000000000,160,33,80200.00,60,37.50,8.35,-5.60
6-August-2019,503.60,503.60,491.10,496.20,497.172244094488188976,1016,98,505127.00,366,36.02,12.50,-7.40
5-August-2019,495.00,500.45,490.00,499.20,494.876470588235294117,340,50,168258.00,168,49.41,10.45,4.20
2-August-2019,506.00,506.00,490.85,498.50,496.744457409568261376,857,131,425710.00,517,60.33,15.15,-7.50
1-August-2019,528.85,529.00,507.65,508.85,513.038019451812555260,1131,115,580246.00,660,58.36,21.35,-20.00
31-July-2019,524.95,532.80,524.95,530.65,530.364864864864864864,222,66,117741.00,148,66.67,7.85,5.70
30-July-2019,530.90,533.15,528.20,530.70,530.404255319148936170,376,64,199432.00,231,61.44,4.95,-0.20
29-July-2019,528.35,534.60,528.35,534.30,531.377049180327868852,61,19,32414.00,33,54.10,6.25,5.95
26-July-2019,532.15,534.20,526.90,532.40,532.364485981308411214,321,31,170889.00,250,77.88,7.30,0.25
25-July-2019,534.10,534.10,520.75,529.00,528.470695970695970695,546,48,288545.00,345,63.19,13.35,-5.10
24-July-2019,523.30,533.25,523.30,529.00,528.310344827586206896,174,36,91926.00,115,66.09,9.95,5.70
23-July-2019,530.00,530.00,526.20,528.35,528.936708860759493670,79,15,41786.00,47,59.49,3.80,-1.65
22-July-2019,528.00,544.50,524.15,534.55,535.524362986142154671,2237,298,1197968.00,1638,73.22,20.35,6.55
19-July-2019,541.20,541.20,525.80,526.85,531.904797047970479704,1355,134,720731.00,1135,83.76,15.40,-14.35
18-July-2019,532.00,537.20,528.55,533.70,532.393478260869565217,460,105,244901.00,347,75.43,8.65,1.70
17-July-2019,526.75,533.65,526.45,531.80,529.992688413948256467,1778,177,942327.00,1288,72.44,7.20,5.05
16-July-2019,527.40,530.00,526.00,529.20,529.303139013452914798,2230,223,1180346.00,1823,81.75,4.00,1.80
15-July-2019,533.45,533.45,525.65,526.35,527.988188976377952755,254,58,134109.00,144,56.69,7.80,-7.10
12-July-2019,541.85,548.20,528.20,529.70,531.172955974842767295,1590,89,844565.00,1371,86.23,20.00,-12.15
11-July-2019,530.65,540.25,530.65,537.10,534.048192771084337349,249,39,132978.00,108,43.37,9.60,6.45
10-July-2019,536.20,541.10,527.70,529.75,533.997319034852546916,373,81,199181.00,208,55.76,13.40,-6.45
9-July-2019,524.25,552.80,524.25,535.15,541.246191646191646191,2035,687,1101436.00,586,28.80,28.55,10.90
8-July-2019,537.50,542.25,521.75,528.05,533.954545454545454545,858,111,458133.00,297,34.62,20.50,-9.45
5-July-2019,553.35,553.35,533.00,543.85,547.025316455696202531,237,77,129645.00,121,51.05,20.35,-9.50
4-July-2019,562.85,562.85,549.75,551.50,553.115226337448559670,243,33,134407.00,174,71.60,13.10,-11.35
3-July-2019,550.90,550.90,541.50,547.20,545.505263157894736842,190,21,103646.00,150,78.95,9.40,-3.70
2-July-2019,551.15,551.65,547.00,547.25,548.591836734693877551,49,13,26881.00,35,71.43,4.65,-3.90
1-July-2019,561.00,561.00,552.70,556.00,554.984375000000000000,64,8,35519.00,44,68.75,8.30,-5.00
28-June-2019,551.90,565.45,549.85,561.10,555.940972222222222222,576,67,320222.00,353,61.28,15.60,9.20
27-June-2019,542.25,555.55,542.25,551.95,551.176895306859205776,831,74,458028.00,516,62.09,13.30,9.70
26-June-2019,553.00,561.00,542.25,543.50,545.809302325581395348,215,32,117349.00,129,60.00,18.75,-9.50
25-June-2019,549.45,551.40,542.05,544.10,547.166666666666666666,252,24,137886.00,174,69.05,9.35,-5.35
24-June-2019,535.00,545.30,535.00,544.20,538.251533742331288343,163,31,87735.00,118,72.39,10.30,9.20
21-June-2019,535.00,538.85,528.55,535.30,535.148809523809523809,168,17,89905.00,128,76.19,10.30,0.30
20-June-2019,535.05,541.55,524.10,530.95,533.479893946089262041,2263,394,1207265.00,1045,46.18,17.45,-4.10
19-June-2019,544.65,548.40,524.95,526.20,539.072534276868642193,2261,221,1218843.00,1920,84.92,23.45,-18.45
18-June-2019,538.15,544.00,531.00,540.85,540.895390070921985815,564,103,305065.00,322,57.09,13.00,2.70
17-June-2019,540.00,545.00,530.00,538.75,536.657894736842105263,228,40,122358.00,131,57.46,15.00,-1.25
14-June-2019,534.00,542.80,531.50,533.35,535.980056980056980056,351,94,188129.00,247,70.37,11.30,-0.65
13-June-2019,538.25,540.50,533.25,537.65,537.849315068493150684,73,21,39263.00,36,49.32,7.25,-0.60
12-June-2019,552.70,552.70,539.40,543.20,546.991525423728813559,118,29,64545.00,54,45.76,13.30,-9.50
11-June-2019,540.00,547.00,533.00,545.45,540.779249448123620309,453,77,244973.00,259,57.17,14.00,5.45
10-June-2019,540.05,555.60,531.00,531.65,538.481400437636761487,457,63,246086.00,253,55.36,24.60,-8.40
7-June-2019,539.45,548.00,533.10,544.00,540.508241758241758241,364,60,196745.00,169,46.43,14.90,4.55
6-June-2019,580.00,580.00,547.05,547.40,561.960264900662251655,151,14,84856.00,88,58.28,32.95,-32.60
4-June-2019,556.50,558.95,549.75,551.20,553.625242718446601941,515,88,285117.00,232,45.05,9.20,-5.30
3-June-2019,552.60,552.60,537.80,544.30,545.485294117647058823,748,82,408023.00,337,45.05,14.80,-8.30
31-May-2019,553.20,555.25,550.00,551.95,553.269303201506591337,531,37,293786.00,297,55.93,5.25,-1.25
30-May-2019,541.05,556.05,541.05,547.90,547.854166666666666666,1824,130,999286.00,769,42.16,15.00,6.85
29-May-2019,555.90,556.65,550.15,550.40,553.202429149797570850,247,32,136641.00,149,60.32,6.50,-5.50
28-May-2019,559.55,559.55,552.65,555.30,557.086206896551724137,116,13,64622.00,53,45.69,6.90,-4.25
27-May-2019,547.00,565.20,547.00,550.00,556.796220213640098603,1217,116,677621.00,621,51.03,18.20,3.00
24-May-2019,530.25,551.65,522.25,550.05,533.240853658536585365,1312,128,699612.00,674,51.37,29.40,19.80
23-May-2019,548.60,548.60,524.35,531.85,538.533460196638122423,3153,160,1697996.00,2255,71.52,24.25,-16.75
22-May-2019,550.00,553.55,540.00,541.95,546.584086799276672694,553,51,302261.00,413,74.68,13.55,-8.05
21-May-2019,559.00,559.00,541.35,543.85,546.232523914643119941,1359,135,742330.00,875,64.39,17.65,-15.15
20-May-2019,534.05,570.00,525.70,557.45,548.641090065713181291,10348,518,5677338.00,5704,55.12,44.30,23.40
17-May-2019,533.40,533.40,505.05,518.05,520.332020997375328083,762,85,396493.00,401,52.62,28.35,-15.35
16-May-2019,543.00,543.00,530.00,533.20,536.023809523809523809,252,42,135078.00,71,28.17,13.00,-9.80
15-May-2019,530.00,546.00,530.00,538.40,534.755213055303717135,1103,82,589835.00,524,47.51,16.00,8.40
14-May-2019,526.50,533.40,515.00,529.25,522.681397738951695786,973,115,508569.00,430,44.19,18.40,2.75
13-May-2019,537.05,542.80,522.00,526.15,531.387201735357917570,922,101,489939.00,286,31.02,20.80,-10.90
10-May-2019,549.90,549.90,535.30,537.60,540.592760180995475113,221,27,119471.00,106,47.96,14.60,-12.30
9-May-2019,527.00,549.90,526.05,541.60,535.190179267342166796,1283,120,686649.00,400,31.18,23.85,14.60
8-May-2019,532.80,542.40,517.85,521.35,527.958604173794047211,2923,329,1543223.00,924,31.61,24.55,-11.45
7-May-2019,530.00,544.50,530.00,542.25,531.977839335180055401,361,34,192044.00,327,90.58,14.50,12.25
6-May-2019,540.00,544.40,530.00,531.30,536.814859926918392204,821,100,440725.00,627,76.37,14.40,-8.70
3-May-2019,550.00,557.60,542.05,545.55,546.375438596491228070,855,61,467151.00,653,76.37,15.55,-4.45
2-May-2019,568.00,573.45,550.30,551.45,560.261224489795918367,245,28,137264.00,214,87.35,23.15,-16.55
30-April-2019,561.00,578.00,561.00,567.65,566.439252336448598130,214,36,121218.00,92,42.99,17.00,6.65
26-April-2019,570.60,571.55,551.40,563.40,566.849726775956284153,366,49,207467.00,180,49.18,20.15,-7.20
25-April-2019,583.30,583.30,562.25,567.35,571.553571428571428571,224,31,128028.00,98,43.75,21.05,-15.95
24-April-2019,575.05,584.75,571.00,576.50,576.844884488448844884,606,38,349568.00,166,27.39,13.75,1.45
23-April-2019,572.80,576.10,570.00,574.65,574.239583333333333333,288,39,165381.00,218,75.69,6.10,1.85
22-April-2019,570.00,580.70,565.00,572.80,571.823451910408432147,759,73,434014.00,367,48.35,15.70,2.80
18-April-2019,587.75,587.75,571.00,575.95,578.313207547169811320,530,41,306506.00,290,54.72,16.75,-11.80
16-April-2019,590.00,593.20,578.00,582.45,585.481665745347337387,5427,172,3177409.00,3497,64.44,15.20,-7.55
15-April-2019,591.10,591.10,580.95,585.70,584.539329934450109249,2746,119,1605145.00,1790,65.19,10.15,-5.40
12-April-2019,589.80,593.00,584.85,591.05,588.079178885630498533,341,31,200535.00,97,28.45,8.15,1.25
11-April-2019,586.60,589.80,584.20,586.20,585.905263157894736842,190,29,111322.00,83,43.68,5.60,-0.40
10-April-2019,619.00,619.00,586.45,588.75,594.998415213946117274,631,49,375444.00,148,23.45,32.55,-30.25
9-April-2019,603.00,603.00,587.80,590.00,591.414062500000000000,128,16,75701.00,57,44.53,15.20,-13.00
8-April-2019,600.15,607.85,591.60,602.25,599.967905405405405405,592,60,355181.00,292,49.32,16.25,2.10
5-April-2019,593.10,595.50,588.10,595.10,592.532786885245901639,122,15,72289.00,67,54.92,7.40,2.00
4-April-2019,586.60,603.35,586.60,593.20,596.996702390766694146,1213,142,724157.00,299,24.65,16.75,6.60
3-April-2019,597.50,597.50,583.00,587.65,589.000000000000000000,318,47,187302.00,204,64.15,14.50,-9.85
2-April-2019,589.30,599.20,587.65,596.40,593.167346938775510204,245,28,145326.00,97,39.59,11.55,7.10
1-April-2019,593.05,608.10,580.00,592.35,594.074404761904761904,1680,112,998045.00,690,41.07,28.10,-0.70
29-March-2019,580.05,594.40,573.65,592.25,585.964812173086067522,2103,117,1232284.00,981,46.65,20.75,12.20
28-March-2019,574.80,579.20,572.00,574.05,574.335423197492163009,957,69,549639.00,642,67.08,7.20,-0.75
27-March-2019,563.95,571.55,558.05,565.15,564.896648044692737430,1074,50,606699.00,431,40.13,13.50,1.20
26-March-2019,550.00,560.35,550.00,559.40,553.088598644800157124,50915,63,28160506.00,50265,98.72,10.35,9.40
25-March-2019,562.00,563.70,547.00,550.85,551.896929824561403508,4560,204,2516650.00,2929,64.23,16.70,-11.15
22-March-2019,590.35,591.45,575.00,578.80,580.546957671957671957,1512,88,877787.00,830,54.89,16.45,-11.55
20-March-2019,617.45,617.50,590.00,594.65,600.154479917610710607,971,61,582750.00,526,54.17,27.50,-22.80
19-March-2019,608.70,620.50,608.70,617.10,617.272222222222222222,1260,105,777763.00,473,37.54,11.80,8.40
18-March-2019,603.45,615.10,600.85,608.10,607.186926605504587155,1744,108,1058934.00,619,35.49,14.25,4.65
15-March-2019,607.60,607.60,583.10,591.15,598.901490367139222101,2751,244,1647578.00,1732,62.96,24.50,-16.45
14-March-2019,617.40,617.40,600.15,601.40,606.570071258907363420,1263,73,766098.00,679,53.76,17.25,-16.00
13-March-2019,628.60,629.00,615.05,617.80,619.457751653196179279,1361,88,843082.00,796,58.49,13.95,-10.80
12-March-2019,621.05,632.00,620.20,627.00,626.818181818181818181,1166,93,730870.00,448,38.42,11.80,5.95
11-March-2019,631.90,631.90,616.00,620.10,620.843461351482741857,2057,119,1277075.00,841,40.88,15.90,-11.80
8-March-2019,619.30,634.55,615.00,618.65,631.484363741173079694,6939,195,4381870.00,5950,85.75,19.55,-0.65
7-March-2019,629.95,635.00,615.55,622.35,628.713052858683926645,927,66,582817.00,399,43.04,19.45,-7.60
6-March-2019,620.00,636.55,605.40,624.75,628.465774610005379236,14872,730,9346543.00,5048,33.94,31.15,4.75
5-March-2019,589.20,613.00,588.50,611.05,604.391648849201358319,7951,438,4805518.00,1763,22.17,24.50,21.85
1-March-2019,552.30,574.00,552.25,566.95,558.995715050883770755,1867,114,1043645.00,791,42.37,21.75,14.65
28-February-2019,556.00,556.00,545.00,550.75,548.053763440860215053,93,10,50969.00,87,93.55,11.00,-5.25
27-February-2019,546.00,563.00,543.50,562.15,557.224535315985130111,2690,143,1498934.00,714,26.54,19.50,16.15
26-February-2019,550.00,550.00,533.05,543.80,541.405734144222415291,1151,72,623158.00,361,31.36,16.95,-6.20
25-February-2019,561.20,561.20,552.75,554.65,555.907563025210084033,119,12,66153.00,65,54.62,8.45,-6.55
22-February-2019,539.70,562.25,539.70,558.20,556.257080610021786492,459,45,255322.00,258,56.21,22.55,18.50
21-February-2019,534.95,554.65,534.95,549.80,546.403614457831325301,830,73,453515.00,311,37.47,19.70,14.85
20-February-2019,526.60,535.05,525.40,530.65,529.368715083798882681,179,23,94757.00,95,53.07,9.65,4.05
19-February-2019,532.05,534.75,520.15,533.60,531.030037546933667083,799,31,424293.00,577,72.22,14.60,1.55
18-February-2019,536.75,538.25,525.00,529.15,532.519337016574585635,181,33,96386.00,84,46.41,13.25,-7.60
15-February-2019,532.85,535.50,527.80,530.20,530.235537190082644628,242,28,128317.00,131,54.13,7.70,-2.65
14-February-2019,544.90,544.90,523.70,538.30,530.641843971631205673,1410,97,748205.00,353,25.04,21.20,-6.60
13-February-2019,548.20,549.65,525.00,535.45,539.408710954685437747,2273,303,1226076.00,632,27.80,24.65,-12.75
12-February-2019,558.60,559.15,545.05,549.55,550.901692183722804190,1241,71,683669.00,536,43.19,14.10,-9.05
11-February-2019,570.00,570.50,545.00,553.05,554.458662453923117430,1899,129,1052917.00,871,45.87,25.50,-16.95
8-February-2019,594.40,594.40,571.10,575.05,582.143406382160707420,2601,216,1514155.00,1344,51.67,23.30,-19.35
7-February-2019,586.15,608.15,585.05,597.00,591.459133060168212206,4637,282,2742596.00,327,7.05,23.10,10.85
6-February-2019,600.65,600.65,572.45,575.50,588.961096374889478337,1131,72,666115.00,847,74.89,28.20,-25.15
5-February-2019,596.20,600.00,594.00,596.75,596.620137299771167048,437,38,260723.00,175,40.05,6.00,0.55
4-February-2019,590.00,602.05,584.35,595.05,597.516449623029472241,2918,166,1743553.00,322,11.03,17.70,5.05
1-February-2019,594.85,600.00,591.65,597.40,597.209890524726311815,2649,114,1582009.00,169,6.38,8.35,2.55
31-January-2019,597.50,609.65,595.10,607.70,604.686495176848874598,622,34,376115.00,308,49.52,14.55,10.20
30-January-2019,591.30,600.05,590.90,597.25,593.437037037037037037,540,44,320456.00,264,48.89,9.15,5.95
29-January-2019,603.10,603.75,582.00,594.70,591.725274725274725274,1365,103,807705.00,430,31.50,21.75,-8.40
28-January-2019,628.50,628.50,581.40,587.60,592.158096699923254029,3909,266,2314746.00,935,23.92,47.10,-40.90
25-January-2019,614.50,620.85,602.00,605.90,612.846970643347907557,3202,188,1962336.00,774,24.17,18.85,-8.60
24-January-2019,618.20,623.85,600.05,614.20,609.660969107730907950,6377,296,3887808.00,1656,25.97,23.80,-4.00
23-January-2019,624.00,633.00,608.00,613.30,619.281321184510250569,4390,232,2718645.00,2660,60.59,25.00,-10.70
22-January-2019,620.60,628.00,610.50,624.15,620.023776223776223776,1430,93,886634.00,636,44.48,17.50,3.55
21-January-2019,615.00,625.00,613.20,618.15,617.650201612903225806,992,78,612709.00,459,46.27,11.80,3.15
18-January-2019,607.50,617.40,606.50,617.30,613.189573459715639810,844,45,517532.00,416,49.29,10.90,9.80
17-January-2019,610.55,614.75,609.00,611.05,612.869485294117647058,544,37,333401.00,221,40.62,5.75,0.50
16-January-2019,625.85,626.05,609.60,617.00,619.205292360221937686,2343,103,1450798.00,1436,61.29,16.45,-8.85
15-January-2019,606.55,626.00,605.95,617.50,616.383973288814691151,1797,182,1107642.00,853,47.47,20.05,10.95
14-January-2019,607.60,620.00,597.20,599.05,610.548397435897435897,3120,167,1904911.00,1252,40.13,22.80,-8.55
11-January-2019,596.65,620.00,595.00,607.60,602.400767938564914806,4167,186,2510204.00,204,4.90,25.00,10.95
10-January-2019,592.95,610.00,592.95,607.40,605.489596083231334149,2451,184,1484055.00,889,36.27,17.05,14.45
9-January-2019,610.00,610.00,596.60,597.50,601.053719008264462809,726,56,436365.00,476,65.56,13.40,-12.50
8-January-2019,605.20,605.20,590.15,598.05,596.944099378881987577,161,44,96108.00,90,55.90,15.05,-7.15
7-January-2019,608.80,616.90,593.05,598.00,610.281219903691813804,3115,199,1901026.00,513,16.47,23.85,-10.80
4-January-2019,596.65,604.90,588.10,600.05,594.896485775759024623,4183,298,2488452.00,237,5.67,16.80,3.40
3-January-2019,595.00,601.45,591.95,593.90,594.932705248990578734,743,56,442035.00,381,51.28,9.50,-1.10
2-January-2019,596.00,599.80,593.75,596.70,596.106060606060606060,330,22,196715.00,175,53.03,6.05,0.70
1-January-2019,605.00,606.80,592.00,596.90,600.391653290529695024,623,51,374044.00,246,39.49,14.80,-8.10
31-December-2018,602.70,606.05,596.55,598.90,602.586859688195991091,2694,111,1623369.00,425,15.78,9.50,-3.80
28-December-2018,601.70,601.70,595.05,598.45,597.975609756097560975,123,28,73551.00,65,52.85,6.65,-3.25
27-December-2018,597.40,608.00,593.90,598.40,602.727972626176218990,3507,186,2113767.00,192,5.47,14.10,1.00
26-December-2018,596.00,596.00,580.95,586.15,590.660194174757281553,515,75,304190.00,249,48.35,15.05,-9.85
24-December-2018,597.35,602.30,593.95,597.25,597.674418604651162790,688,38,411200.00,379,55.09,8.35,-0.10
21-December-2018,604.00,606.05,594.65,598.85,599.262318840579710144,1380,67,826982.00,625,45.29,11.40,-5.15
20-December-2018,600.00,608.00,593.00,603.45,602.755646817248459958,1461,85,880626.00,742,50.79,15.00,3.45
19-December-2018,599.50,607.65,597.00,599.45,601.141025641025641025,390,57,234445.00,134,34.36,10.65,-0.05
18-December-2018,600.00,605.00,598.40,600.40,600.917558886509635974,1868,113,1122514.00,1142,61.13,6.60,0.40
17-December-2018,580.00,598.80,576.65,595.85,589.025902147442993137,4517,181,2660630.00,3215,71.18,22.15,15.85
14-December-2018,565.00,578.00,565.00,574.85,571.719411764705882352,1700,140,971923.00,936,55.06,13.00,9.85
13-December-2018,560.80,568.90,559.35,565.35,564.875963020030816640,2596,217,1466418.00,1124,43.30,9.55,4.55
12-December-2018,549.00,566.00,547.30,555.70,558.143469785575048732,2565,179,1431638.00,530,20.66,18.70,6.70
11-December-2018,530.40,542.60,521.50,538.85,530.719096334185848252,2346,147,1245067.00,730,31.12,21.10,8.45
10-December-2018,543.40,548.40,530.75,534.25,536.858192505510653930,1361,122,730664.00,551,40.48,17.65,-9.15
7-December-2018,545.55,556.50,543.00,549.45,548.458152510849349039,1613,116,884663.00,571,35.40,13.50,3.90
6-December-2018,555.80,555.80,540.00,542.55,548.456280788177339901,1624,97,890693.00,662,40.76,15.80,-13.25
5-December-2018,556.50,582.90,555.40,558.90,560.808700209643605870,1908,113,1070023.00,618,32.39,27.50,2.40
4-December-2018,560.00,575.00,558.90,566.25,566.845238095238095238,1596,81,904685.00,535,33.52,16.10,6.25
3-December-2018,568.05,573.55,550.00,561.40,560.660765276984580239,1751,134,981717.00,439,25.07,23.55,-6.65
30-November-2018,574.00,577.00,565.40,575.05,571.731143991338866835,2771,111,1584267.00,1151,41.54,11.60,1.05
29-November-2018,558.00,583.25,558.00,566.85,571.134817563388991960,3234,198,1847050.00,932,28.82,25.25,8.85
28-November-2018,566.50,567.95,551.25,555.35,560.341801385681293302,3464,203,1941024.00,1659,47.89,16.70,-11.15
27-November-2018,565.00,565.00,555.00,559.00,559.592090069284064665,3464,125,1938427.00,1005,29.01,10.00,-6.00
26-November-2018,579.95,582.55,564.05,567.30,568.696410931840632202,3037,175,1727131.00,1037,34.15,18.50,-12.65
22-November-2018,579.00,594.50,577.00,580.80,580.293002915451895043,686,44,398081.00,309,45.04,17.50,1.80
21-November-2018,576.60,589.45,563.70,576.70,583.473886750962067069,5457,270,3184017.00,1144,20.96,25.75,0.10
20-November-2018,602.00,602.00,566.50,572.00,577.973708920187793427,3195,160,1846626.00,1447,45.29,35.50,-30.00
19-November-2018,587.70,591.90,574.65,578.65,582.399727148703956343,2199,164,1280697.00,637,28.97,17.25,-9.05
16-November-2018,598.00,600.00,579.00,581.35,586.673584905660377358,2650,228,1554685.00,992,37.43,21.00,-16.65
15-November-2018,601.00,602.85,588.00,596.50,594.416796267496111975,2572,200,1528840.00,789,30.68,14.85,-4.50
14-November-2018,611.00,627.00,585.25,606.05,614.558299792657641175,16398,913,10077527.00,3009,18.35,41.75,-4.95
13-November-2018,598.80,607.00,582.80,602.80,595.068706118355065195,1994,146,1186567.00,258,12.94,24.20,4.00
12-November-2018,614.80,616.80,587.30,594.70,603.401997213190896423,4306,242,2598249.00,1584,36.79,29.50,-20.10
9-November-2018,625.05,625.10,611.00,615.35,617.632235084594835262,1123,96,693601.00,316,28.14,14.10,-9.70
7-November-2018,613.45,630.00,594.05,624.95,614.909468822170900692,2165,158,1331279.00,735,33.95,35.95,11.50
6-November-2018,607.85,620.70,605.00,608.70,612.837545588329387676,15629,825,9578038.00,5722,36.61,15.70,0.85
5-November-2018,605.10,634.80,567.10,602.60,612.298869325532992068,17777,912,10884837.00,3708,20.86,67.70,-2.50
2-November-2018,565.00,591.95,565.00,579.55,583.011199044348215618,6697,381,3904426.00,1603,23.94,26.95,14.55
1-November-2018,531.75,571.95,528.10,564.50,554.540784780023781212,12615,797,6995532.00,2976,23.59,43.85,32.75
31-October-2018,480.65,542.00,480.65,526.50,524.025671641791044776,16750,1138,8777430.00,2706,16.16,61.35,45.85
30-October-2018,483.50,499.15,480.10,484.65,487.248369565217391304,3680,242,1793074.00,2031,55.19,19.05,1.15
29-October-2018,480.00,492.20,470.00,486.00,480.147752126366950182,4115,288,1975808.00,1470,35.72,22.20,6.00
26-October-2018,480.25,485.20,470.00,472.25,475.606981370953156086,5529,306,2629631.00,1129,20.42,15.20,-8.00
25-October-2018,485.00,492.95,472.35,481.10,484.910229645093945720,2395,130,1161360.00,1361,56.83,20.60,-3.90
24-October-2018,498.40,500.75,473.10,485.80,482.942521435376309939,6298,281,3041572.00,3376,53.60,27.65,-12.60
23-October-2018,489.65,493.45,476.00,481.75,482.514741035856573705,1255,104,605556.00,568,45.26,17.45,-7.90
22-October-2018,520.00,525.05,486.20,489.65,501.015287982934344631,8438,446,4227567.00,3590,42.55,38.85,-30.35
19-October-2018,545.00,545.00,508.85,514.65,517.729571052000958543,8346,396,4320971.00,3584,42.94,36.15,-30.35
17-October-2018,565.00,572.20,533.95,547.95,558.831066118316988294,3161,320,1766465.00,1217,38.50,38.25,-17.05
16-October-2018,536.10,568.00,536.10,551.05,553.249707912904938927,18830,576,10417692.00,4774,25.35,31.90,14.95
15-October-2018,530.00,538.55,517.05,528.65,531.339338903014892844,13765,656,7313886.00,508,3.69,21.50,-1.35
12-October-2018,516.80,541.00,516.00,533.35,529.313738019169329073,4695,290,2485128.00,1432,30.50,25.00,16.55
11-October-2018,510.90,516.10,494.85,511.25,507.521799628942486085,4312,318,2188434.00,1320,30.61,21.25,0.35
10-October-2018,504.00,560.00,500.05,529.45,518.234774066797642436,3054,286,1582689.00,658,21.55,59.95,25.45
9-October-2018,476.65,504.15,461.50,490.60,476.035730438715513342,4422,388,2105030.00,1236,27.95,42.65,13.95
8-October-2018,502.95,502.95,468.00,475.60,486.501962983735277621,3566,252,1734866.00,1046,29.33,34.95,-27.35
5-October-2018,501.60,515.50,501.00,506.60,509.170081175106300734,2587,192,1317223.00,1148,44.38,14.50,5.00
4-October-2018,510.00,516.60,503.15,511.85,511.297743055555555555,1152,93,589015.00,382,33.16,13.45,1.85
3-October-2018,506.05,529.60,502.00,521.35,515.202598936798582398,5079,304,2616714.00,1911,37.63,27.60,15.30
1-October-2018,505.45,518.00,489.00,511.50,503.873875635510363707,5114,236,2576811.00,2619,51.21,29.00,6.05
28-September-2018,540.00,540.00,505.10,516.70,524.206896551724137931,3277,219,1717826.00,873,26.64,34.90,-23.30
27-September-2018,523.00,544.00,523.00,542.45,538.636239782016348773,2202,120,1186077.00,976,44.32,21.00,19.45
26-September-2018,525.00,535.00,519.55,520.65,525.979543039319872476,3764,298,1979787.00,2121,56.35,15.45,-4.35
25-September-2018,539.55,539.55,503.05,523.65,526.186228865474148493,8162,673,4294732.00,2700,33.08,36.50,-15.90
24-September-2018,582.35,584.45,530.00,538.20,552.299086757990867579,4818,349,2660977.00,2126,44.13,54.45,-44.15
21-September-2018,620.75,621.00,550.00,592.75,593.993122420907840440,2181,232,1295499.00,964,44.20,71.00,-28.00
19-September-2018,628.95,628.95,617.35,621.90,622.588477366255144032,4374,214,2723202.00,1732,39.60,11.60,-7.05
18-September-2018,628.00,634.95,612.80,620.05,621.393524283935242839,4015,260,2494895.00,2525,62.89,22.15,-7.95
17-September-2018,609.50,621.90,596.00,617.70,606.186510791366906474,5560,311,3370397.00,1763,31.71,25.90,8.20
14-September-2018,610.00,619.95,603.00,610.25,610.699745547073791348,2751,181,1680035.00,1120,40.71,16.95,0.25
12-September-2018,610.00,610.25,595.00,600.15,599.339101396478445658,3294,166,1974223.00,1521,46.17,15.25,-9.85
11-September-2018,632.05,637.90,571.00,605.75,616.924050632911392405,3871,202,2388113.00,2275,58.77,66.90,-26.30
10-September-2018,615.00,646.45,614.00,628.00,631.546773863868638005,14677,638,9269212.00,7757,52.85,32.45,13.00
7-September-2018,580.00,614.00,576.05,608.00,601.966577984702361157,6014,469,3620227.00,1615,26.85,37.95,28.00
6-September-2018,579.00,586.25,572.95,580.60,579.913018760659465605,1759,131,1020067.00,793,45.08,13.30,1.60
5-September-2018,590.40,590.40,570.10,580.00,578.323843416370106761,1967,128,1137563.00,632,32.13,20.30,-10.40
4-September-2018,604.00,604.00,575.10,595.10,592.609554777388694347,7996,439,4738506.00,2449,30.63,28.90,-8.90
3-September-2018,604.00,606.35,598.00,601.10,601.599546485260770975,2205,108,1326527.00,1140,51.70,8.35,-2.90
31-August-2018,610.00,610.25,599.00,600.55,602.278406518786781349,2209,166,1330433.00,676,30.60,11.25,-9.45
30-August-2018,616.00,617.20,602.15,610.15,607.645413870246085011,2682,136,1629705.00,1813,67.60,15.05,-5.85
29-August-2018,620.00,634.00,614.15,619.20,620.743666169895678092,1342,120,833038.00,624,46.50,19.85,-0.80
28-August-2018,620.55,630.80,612.00,621.10,624.143127245225940631,5289,276,3301093.00,1997,37.76,18.80,0.55
27-August-2018,620.10,625.70,612.00,613.35,617.501860272840016535,2419,155,1493737.00,1230,50.85,13.70,-6.75
24-August-2018,627.25,630.50,618.00,620.10,623.662475181998676373,3022,128,1884708.00,2113,69.92,12.50,-7.15
23-August-2018,637.30,637.35,628.00,632.45,630.945595854922279792,1544,129,974180.00,256,16.58,9.35,-4.85
21-August-2018,630.80,642.05,626.00,633.90,636.054109388710149166,3419,188,2174669.00,738,21.59,16.05,3.10
20-August-2018,635.60,638.00,625.80,629.75,631.475233309404163675,2786,168,1759290.00,1117,40.09,12.20,-5.85
17-August-2018,643.35,644.40,631.95,634.00,636.857309941520467836,855,60,544513.00,368,43.04,12.45,-9.35
16-August-2018,637.65,656.90,629.95,637.35,644.924981245311327831,3999,280,2579055.00,1355,33.88,26.95,-0.30
14-August-2018,635.00,645.10,633.00,637.45,639.643564356435643564,2929,169,1873516.00,911,31.10,12.10,2.45
13-August-2018,631.05,638.95,627.05,628.85,630.528506787330316742,1105,86,696734.00,422,38.19,11.90,-2.20
10-August-2018,633.35,640.00,624.15,627.40,633.195137763371150729,6170,247,3906814.00,1028,16.66,15.85,-5.95
9-August-2018,630.70,640.65,625.00,626.70,629.581057725544417559,2893,187,1821378.00,1226,42.38,15.65,-4.00
