,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,required_col,new_col
0,5,1,1,1,1,1,1685,264,277,61,95.508388,Excess,"block_1,line_1,word_ 1",Excess Flood Insurance Policy Application — Florida
1,5,1,1,1,1,2,1996,264,215,61,95.420770,Flood,"block_1,line_1,word_ 2",Excess Flood Insurance Policy Application — Florida
2,5,1,1,1,1,3,2245,264,384,61,95.420770,Insurance,"block_1,line_1,word_ 3",Excess Flood Insurance Policy Application — Florida
3,5,1,1,1,1,4,2662,264,237,77,95.533247,Policy,"block_1,line_1,word_ 4",Excess Flood Insurance Policy Application — Florida
4,5,1,1,1,1,5,2925,264,445,76,91.969190,Application,"block_1,line_1,word_ 5",Excess Flood Insurance Policy Application — Florida
5,5,1,1,1,1,6,3399,298,46,9,87.689874,—,"block_1,line_1,word_ 6",Excess Flood Insurance Policy Application — Florida
6,5,1,1,1,1,7,3476,264,268,61,96.616616,Florida,"block_1,line_1,word_ 7",Excess Flood Insurance Policy Application — Florida
7,5,1,2,1,1,1,505,463,198,64,95.856907,Policy,"block_2,line_1,word_ 1",Policy Form Check only one of the following Policy Type
8,5,1,2,1,1,2,728,463,164,50,88.993965,Form,"block_2,line_1,word_ 2",Policy Form Check only one of the following Policy Type
9,5,1,2,1,1,3,976,462,204,51,88.993965,Check,"block_2,line_1,word_ 3",Policy Form Check only one of the following Policy Type
10,5,1,2,1,1,4,1203,463,139,63,96.184822,only,"block_2,line_1,word_ 4",Policy Form Check only one of the following Policy Type
11,5,1,2,1,1,5,1366,475,118,38,95.500134,one,"block_2,line_1,word_ 5",Policy Form Check only one of the following Policy Type
12,5,1,2,1,1,6,1508,462,65,51,95.500134,of,"block_2,line_1,word_ 6",Policy Form Check only one of the following Policy Type
13,5,1,2,1,1,7,1591,463,101,50,96.137279,the,"block_2,line_1,word_ 7",Policy Form Check only one of the following Policy Type
14,5,1,2,1,1,8,1714,462,300,65,96.137279,following,"block_2,line_1,word_ 8",Policy Form Check only one of the following Policy Type
15,5,1,2,1,1,9,2255,464,198,64,95.548691,Policy,"block_2,line_1,word_ 9",Policy Form Check only one of the following Policy Type
16,5,1,2,1,1,10,2474,464,158,64,96.049845,Type,"block_2,line_1,word_ 10",Policy Form Check only one of the following Policy Type
17,5,1,2,1,2,1,505,543,192,50,96.629231,House,"block_2,line_2,word_ 1",House (includes a detached garage) X New X_ Endorsement o
18,5,1,2,1,2,2,723,542,271,65,95.951869,(includes,"block_2,line_2,word_ 2",House (includes a detached garage) X New X_ Endorsement o
19,5,1,2,1,2,3,1018,555,32,38,96.783729,a,"block_2,line_2,word_ 3",House (includes a detached garage) X New X_ Endorsement o
20,5,1,2,1,2,4,1076,543,278,50,96.394276,detached,"block_2,line_2,word_ 4",House (includes a detached garage) X New X_ Endorsement o
21,5,1,2,1,2,5,1380,542,234,65,93.241274,garage),"block_2,line_2,word_ 5",House (includes a detached garage) X New X_ Endorsement o
22,5,1,2,1,2,6,1677,542,44,50,91.730379,X,"block_2,line_2,word_ 6",House (includes a detached garage) X New X_ Endorsement o
23,5,1,2,1,2,7,2255,540,132,50,93.033473,New,"block_2,line_2,word_ 7",House (includes a detached garage) X New X_ Endorsement o
24,5,1,2,1,2,8,2408,539,44,50,70.462723,X_,"block_2,line_2,word_ 8",House (includes a detached garage) X New X_ Endorsement o
25,5,1,2,1,2,9,2535,539,408,51,93.254572,Endorsement,"block_2,line_2,word_ 9",House (includes a detached garage) X New X_ Endorsement o
26,5,1,2,1,2,10,2967,557,32,32,87.818371,o,"block_2,line_2,word_ 10",House (includes a detached garage) X New X_ Endorsement o
27,5,1,3,1,1,1,503,622,419,51,92.979735,Condominium,"block_3,line_1,word_ 1",Condominium o Underlying Flood Policy #:
28,5,1,3,1,1,2,971,640,32,32,79.281886,o,"block_3,line_1,word_ 2",Condominium o Underlying Flood Policy #:
