,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
0,CVE-2003-1564,189.0,,DoS,2003-12-31,2008-10-24,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"libxml2, possibly before 2.5.0, does not properly detect recursion during entity expansion, which allows context-dependent attackers to cause a denial of service (memory and CPU consumption) via a crafted XML document containing a large number of nested entity references, aka the ""billion laughs attack."""
1,CVE-2003-1563,,,DoS,2003-12-31,2018-10-30,4.0,None,Local,High,Not required,None,None,Complete,"Sun Cluster 2.2 through 3.2 for Oracle Parallel Server / Real Application Clusters (OPS/RAC) allows local users to cause a denial of service (cluster node panic or abort) by launching a daemon listening on a TCP port that would otherwise be used by the Distributed Lock Manager (DLM), possibly involving this daemon responding in a manner that spoofs a cluster reconfiguration."
2,CVE-2003-1562,362.0,,,2003-12-31,2008-09-05,7.6,None,Remote,High,Not required,Complete,Complete,Complete,"sshd in OpenSSH 3.6.1p2 and earlier, when PermitRootLogin is disabled and using PAM keyboard-interactive authentication, does not insert a delay after a root login attempt with the correct password, which makes it easier for remote attackers to use timing differences to determine if the password step of a multi-step authentication is successful, a different vulnerability than CVE-2003-0190."
3,CVE-2003-1561,200.0,,+Info,2003-12-31,2009-01-29,4.3,None,Remote,Medium,Not required,Partial,None,None,"Opera, probably before 7.50, sends Referer headers containing https:// URLs in requests for http:// URLs, which allows remote attackers to obtain potentially sensitive information by reading Referer log data."
4,CVE-2003-1560,200.0,,+Info,2003-12-31,2009-01-29,5.0,None,Remote,Low,Not required,Partial,None,None,"Netscape 4 sends Referer headers containing https:// URLs in requests for http:// URLs, which allows remote attackers to obtain potentially sensitive information by reading Referer log data."
5,CVE-2003-1559,200.0,,+Info,2003-12-31,2021-07-23,5.0,None,Remote,Low,Not required,Partial,None,None,"Microsoft Internet Explorer 5.22, and other 5 through 6 SP1 versions, sends Referer headers containing https:// URLs in requests for http:// URLs, which allows remote attackers to obtain potentially sensitive information by reading Referer log data."
6,CVE-2003-1558,119.0,,DoS Exec Code Overflow,2003-12-31,2018-10-19,5.0,None,Remote,Low,Not required,None,None,Partial,Buffer overflow in httpd.c of fnord 1.6 allows remote attackers to create a denial of service (crash) and possibly execute arbitrary code via a long CGI request passed to the do_cgi function.
7,CVE-2003-1557,119.0,,Exec Code Overflow,2003-12-31,2018-10-19,7.6,None,Remote,High,Not required,Complete,Complete,Complete,"Off-by-one buffer overflow in spamc of SpamAssassin 2.40 through 2.43, when using BSMTP mode (""-B""), allows remote attackers to execute arbitrary code via email containing headers with leading ""."" characters."
8,CVE-2003-1556,79.0,,XSS,2003-12-31,2018-10-19,4.3,None,Remote,Medium,Not required,None,Partial,None,Cross-site scripting (XSS) vulnerability in cc_guestbook.pl in CGI City CC GuestBook allows remote attackers to inject arbitrary web script or HTML via the (1) name and (2) homepage_title (webpage title) parameters.
9,CVE-2003-1555,200.0,,+Info,2003-12-31,2018-10-19,5.0,None,Remote,Low,Not required,Partial,None,None,"ScozNet ScozBook 1.1 BETA allows remote attackers to obtain sensitive information via an invalid PG parameter in view.php, which reveals the installation path in an error message."
